ZTF19acgjojy 0.080000 Ia
58804.546412 2 19.124 0.208236
58798.5354398 2 18.8109 0.100437
58798.534537 2 18.885 0.154027
58794.5321875 2 18.7348 0.0768731
58793.5204167 2 18.6584 0.121062
58791.5158565 2 18.5902 0.0768744
58790.5110417 2 18.5005 0.133776
58788.5297801 2 18.6323 0.0802047
58787.5290394 2 18.7368 0.176893
58781.5247685 2 18.9654 0.174454
58776.5184375 2 19.8096 0.198428
