ZTF18absldfl 0.040000 II
58428.2208912 1 20.017 0.155564
58425.3400231 1 19.7966 0.136454
58397.3710764 1 19.1671 0.087095
58385.451875 1 18.8728 0.110406
58382.4308333 1 18.8315 0.0564388
58379.4463542 1 18.7119 0.0658457
58376.4463194 1 18.5921 0.0573703
58373.4061111 1 18.4493 0.0626401
58370.3863889 1 18.3625 0.0566909
58367.4085532 1 18.369 0.0650839
58364.4064699 1 18.7706 0.106324
