ZTF18acqqyah 0.017000 Ia
58658.1973958 1 20.3342 0.196237
58643.1752431 1 20.2652 0.344836
58640.2035764 1 20.3133 0.202382
58612.1838773 1 19.8316 0.116649
58609.2165509 1 19.62 0.111581
58606.4083102 1 19.7158 0.129154
58600.1984491 1 19.6699 0.111737
58597.2781019 1 19.5171 0.123579
58594.215787 1 19.4295 0.184157
58587.2473611 1 19.533 0.199391
58584.2711343 1 19.4213 0.104598
58580.2362384 1 19.3567 0.0930309
58575.2790509 1 19.3273 0.0874149
58546.2457176 1 18.7578 0.0978549
58541.2656019 1 18.9896 0.165786
58538.2871528 1 18.7404 0.147798
58534.2788079 1 18.5232 0.178508
58524.4284028 1 18.582 0.0802951
58511.429537 1 18.3244 0.0607831
58508.5340509 1 18.2865 0.0861869
58505.4760764 1 18.1978 0.0862772
58494.4874884 1 17.9086 0.0440569
58491.4686574 1 17.7519 0.0455696
58486.5464815 1 17.4292 0.0379238
58480.4938194 1 16.8196 0.0463774
58472.514213 1 16.0286 0.0248576
58464.4901968 1 15.4585 0.0297555
58461.4679514 1 15.3696 0.0393336
58450.4684028 1 15.9661 0.0300595
58443.5187384 1 18.8385 0.0988908
