ZTF18acrtvmm 0.023000 II
58557.1208912 2 18.8134 0.169948
58540.1254051 2 18.2224 0.0455247
58523.1500463 2 18.0712 0.04292
58514.1279398 2 18.0618 0.0489871
58506.2200463 2 18.118 0.0696532
58503.1434838 2 17.9934 0.0682972
58493.1273495 2 17.9446 0.0556142
58490.1862616 2 17.9727 0.0394382
58487.2356829 2 17.9945 0.0493629
58482.2220486 2 17.8868 0.0622787
58481.3121759 2 17.8895 0.0584116
58474.3118634 2 17.8123 0.0592631
58468.2543866 2 17.81 0.0487209
58465.252037 2 17.7565 0.0544323
58456.2526968 2 17.6517 0.0408625
58456.2311343 2 17.707 0.0480882
58450.3405671 2 18.1478 0.151601
