ZTF20aahggbm 0.100000 Ic
58911.2337037 2 19.8488 0.183734
58906.2485648 2 19.6567 0.150079
58904.2470023 2 19.467 0.152857
58901.3792361 2 19.4574 0.116271
58900.4012963 2 19.5571 0.087018
58899.3358796 2 19.4205 0.094443
58898.3400116 2 19.4684 0.105529
58894.4683449 2 19.3211 0.0916919
58891.3202546 2 18.9551 0.127938
58886.310706 2 18.7046 0.109711
58883.5045139 2 18.7104 0.113138
58880.5184722 2 18.7934 0.0694216
58877.4836921 2 18.9163 0.047901
58871.4845486 2 19.9436 0.154198
