ZTF19abimlck 0.048083 Ia
58762.1946875 1 20.422 0.325304
58760.1964468 1 20.8373 0.342678
58745.196875 1 20.564 0.274575
58730.3075463 1 20.0461 0.182123
58726.4020139 1 19.7779 0.132486
58723.4118634 1 19.5305 0.118746
58720.4045139 1 19.1639 0.100503
58717.3865046 1 18.8466 0.104497
58714.2395602 1 18.5438 0.0906473
58708.4650579 1 18.1285 0.0674068
58705.4056481 1 18.0174 0.0568793
58699.4347106 1 17.9352 0.0472472
58696.4098032 1 18.0347 0.0637855
58693.4076852 1 18.2988 0.0621986
58690.3068634 1 18.8668 0.0867286
