ZTF19acklbjr 0.110000 Ia
58811.1787269 1 20.1882 0.207321
58806.1835764 1 19.7569 0.161044
58803.1800347 1 19.3569 0.214843
58802.2172454 1 19.7149 0.208136
58800.2028356 1 19.2574 0.226977
58796.1947338 1 19.2883 0.186579
58796.1942824 1 19.4877 0.258696
58793.2062037 1 19.5328 0.183841
58793.2057523 1 19.46 0.148066
58791.2564931 1 19.6459 0.157066
58790.2591319 1 19.7704 0.205958
58789.1553588 1 19.9176 0.2023
58788.1549884 1 20.028 0.222899
58787.1540972 1 20.1573 0.245605
58786.1617245 1 20.4491 0.25628
58785.1548495 1 20.5722 0.304568
