ZTF19aczjsqn 0.089000 Ia
58866.3415856 2 19.5343 0.202232
58862.3416898 2 19.1845 0.152588
58862.3343981 2 19.497 0.262088
58859.3195718 2 18.9645 0.190023
58855.3607986 2 19.0798 0.141383
58852.4369097 2 18.9611 0.080566
58852.4351042 2 18.9042 0.125079
58849.4275 2 18.712 0.0990638
58849.4265972 2 18.655 0.0924064
58838.5056713 2 18.9885 0.256207
58835.4625579 2 19.3158 0.214866
58830.4437963 2 19.9557 0.32652
58830.4428935 2 19.798 0.264429
