ZTF19aavkvpw 0.022500 Ic-BL
58679.2019792 2 19.004 0.140984
58676.1937963 2 18.8853 0.119545
58673.2076157 2 18.7417 0.115221
58667.226794 2 18.3091 0.0735802
58661.1984491 2 18.0225 0.0690927
58658.1786111 2 17.9749 0.0753169
58655.1749884 2 17.7903 0.0679948
58652.276088 2 17.6269 0.0707806
58649.2180093 2 17.5468 0.050779
58646.2250926 2 17.4466 0.0517809
58642.214213 2 17.5115 0.0502103
58639.1771644 2 17.5816 0.0527554
58633.1865162 2 17.943 0.0579419
