ZTF20aarcpql 0.047400 Ia
58981.2153125 2 19.7005 0.146275
58978.2342477 2 19.6681 0.22683
58972.1632523 2 19.472 0.190017
58967.1450463 2 19.3546 0.101688
58962.1744676 2 19.2301 0.123342
58954.2057523 2 18.8278 0.100968
58940.1947801 2 17.8044 0.145708
58939.1944213 2 18.2033 0.0637152
58912.2151968 2 17.6344 0.0614323
58909.3046991 2 17.9897 0.0575239
58906.2147338 2 18.6818 0.094214
58905.2060764 2 18.9975 0.153981
