ZTF19aadtqcd 0.008000 II
58575.4378009 2 19.6952 0.128703
58572.4563426 2 19.5039 0.119906
58568.4822801 2 19.5207 0.23061
58560.439919 2 19.3259 0.156914
58556.504537 2 19.238 0.147284
58526.5249769 2 18.2582 0.0901737
58522.5485648 2 17.9792 0.0643391
58512.5276273 2 18.3248 0.190934
58509.4916551 2 18.2891 0.139415
58503.5133333 2 17.8438 0.153438
