ZTF18acckoil 0.029000 Ia
58493.1319676 2 19.623 0.130259
58490.1821412 2 19.3523 0.119312
58486.1245949 2 19.3237 0.103267
58468.2562037 2 18.5854 0.0899807
58464.2762269 2 18.5128 0.104313
58461.2598148 2 18.1695 0.0636956
58457.2186574 2 17.8401 0.0670948
58456.2577199 2 17.7599 0.0566318
58456.2204861 2 17.7992 0.0426574
