ZTF18acwwonp 0.031280 Ia
58580.2637153 1 20.5396 0.26807
58575.3240162 1 20.4799 0.207263
58556.3874653 1 20.1348 0.316004
58546.2818519 1 20.0216 0.212851
58526.4614699 1 19.81 0.200633
58522.4878009 1 19.6612 0.125197
58511.4510532 1 19.2018 0.0933171
58508.5484722 1 19.1111 0.127356
58505.4750231 1 18.7971 0.202078
58502.4745486 1 18.5403 0.129906
58494.514919 1 17.5796 0.0443805
58491.489919 1 17.2749 0.0397818
58486.5484028 1 17.0394 0.0347219
58480.5371412 1 17.1295 0.0485663
58476.5535185 1 17.5893 0.0481798
58472.5329398 1 18.4186 0.0672931
58468.4487037 1 19.7683 0.145779
