ZTF19abcejoa 0.090000 Ia
58707.4381597 1 20.5321 0.225056
58699.4795718 1 20.1331 0.196766
58696.4347106 1 19.745 0.119842
58693.4257639 1 19.5941 0.126263
58690.4620949 1 19.4786 0.127789
58684.4046875 1 19.0037 0.228721
58681.4626852 1 18.8923 0.141423
58677.461412 1 18.7103 0.100847
58673.4780903 1 18.638 0.0715569
58670.4582986 1 18.7426 0.0681714
58667.4417708 1 18.9842 0.127808
58662.4429398 1 20.0296 0.213157
