ZTF19abqsvue 0.083000 Ia
58730.2888194 1 20.2425 0.324296
58727.3120833 1 20.1628 0.275462
58727.3115972 1 19.8582 0.18665
58726.2901157 1 19.9284 0.190196
58726.2896412 1 19.9538 0.206202
58725.2888194 1 19.9839 0.173791
58725.2883449 1 19.8109 0.164675
58724.3125231 1 19.9204 0.198832
58724.312037 1 19.9852 0.218917
58723.3125 1 19.8019 0.163141
58723.3120139 1 19.7117 0.188504
58722.2904977 1 19.9426 0.183203
58722.2900231 1 19.7497 0.144587
58720.3104398 1 19.9978 0.268078
58720.3099537 1 19.8239 0.178895
58719.2915972 1 19.9358 0.257683
58719.2911227 1 19.979 0.25637
58718.311412 1 20.2562 0.317788
58718.3109259 1 20.1954 0.289461
58717.2910069 1 20.2116 0.30803
58717.2905324 1 20.1882 0.254036
