ZTF18acdzzyf 0.040500 Ia
58487.12 2 19.6389 0.16822
58472.2685301 2 18.9249 0.115019
58468.2520718 2 18.8442 0.0896535
58464.2521181 2 18.8044 0.0792132
58456.2558912 2 18.5186 0.0679074
58456.1887153 2 18.4478 0.0653063
58447.3351273 2 17.9799 0.0662054
58437.2949421 2 18.1476 0.0679247
58434.31125 2 18.2065 0.104364
58431.2889005 2 18.8999 0.123277
58428.2660301 2 19.7725 0.176207
