ZTF19abpztlw 0.065000 Ia
58765.4221065 2 19.9143 0.167151
58759.3558333 2 19.7079 0.183198
58750.3149653 2 19.2839 0.110595
58747.3992245 2 19.1751 0.11622
58744.3789931 2 19.0325 0.129433
58739.3780324 2 18.9819 0.156531
58736.4357986 2 18.958 0.0760509
58733.4028356 2 18.778 0.0842878
58730.4190741 2 18.5938 0.068446
58726.3784722 2 18.4486 0.0840275
58723.3885764 2 18.4331 0.0573821
58720.3867593 2 18.5098 0.070399
58717.4741319 2 18.7449 0.0991533
58712.3974653 2 19.0709 0.158798
58709.3974421 2 19.9611 0.329788
