ZTF20aalmeaj 0.046652 Ia
58915.1499884 2 19.1115 0.146257
58912.1898264 2 19.1198 0.12342
58903.1896181 2 18.6394 0.0710392
58900.1961227 2 18.4519 0.137277
58899.247963 2 18.5188 0.086671
58896.2698843 2 18.4076 0.0645388
58894.2404282 2 18.4455 0.071935
58892.2879051 2 18.4473 0.0908262
58891.2638426 2 18.4263 0.0828124
58881.2697569 2 19.4333 0.124702
