ZTF20aamdyln 0.040000 Ic
58965.3343171 2 20.3994 0.208241
58936.4421181 2 20.113 0.241331
58914.5181019 2 19.2932 0.114004
58911.5177894 2 19.1338 0.127013
58908.5152315 2 19.0393 0.121151
58904.5228588 2 18.7811 0.138426
58898.53875 2 18.7881 0.086451
58894.5275116 2 18.9466 0.104442
58885.542581 2 19.9091 0.200999
