ZTF20aahpwym 0.055000 Ia
58955.4130093 1 20.7612 0.325158
58943.4571412 1 20.4823 0.325167
58941.4973264 1 20.7395 0.357834
58936.4780903 1 20.5998 0.278749
58914.4963194 1 19.6509 0.21201
58911.5299653 1 19.5363 0.16535
58906.5298843 1 19.3343 0.176034
58903.5358565 1 19.0179 0.104974
58898.5496296 1 18.5674 0.090224
58893.4894676 1 18.0533 0.0777548
58890.5495949 1 17.7161 0.108135
58887.4667014 1 17.6972 0.068178
58884.4231134 1 17.7106 0.0849823
58881.518912 1 17.6231 0.0538353
58878.5377083 1 17.7138 0.0659346
58875.4864583 1 17.8705 0.067796
58872.4333218 1 18.2255 0.0825293
