ZTF19aarfyvc 0.090000 Ic
58660.2427431 2 20.3111 0.165661
58657.3535069 2 20.0722 0.188129
58653.197963 2 20.0121 0.18836
58647.2462269 2 19.658 0.176208
58644.2687847 2 19.7699 0.131679
58641.3039931 2 19.5677 0.100504
58638.2752199 2 19.3656 0.0911528
58635.2561458 2 19.1994 0.0926681
58632.2796296 2 19.0221 0.0700747
58628.3158449 2 18.9169 0.0737471
58619.331412 2 18.6317 0.127218
58616.3677315 2 18.6687 0.0634932
58612.3491667 2 18.6819 0.0683262
58606.3626852 2 18.7566 0.0720839
58596.3994097 2 19.3797 0.142798
58583.3212037 2 20.6474 0.34477
