ZTF20aakfofq 0.080000 Ia
58912.1355671 1 19.9578 0.28362
58909.2076968 1 19.6167 0.275711
58906.2584954 1 19.4046 0.147829
58906.1427315 1 19.5136 0.147212
58904.1641898 1 19.2513 0.125953
58900.2980324 1 18.9415 0.121084
58895.2030903 1 18.5473 0.0819398
58891.2451389 1 18.4121 0.088307
58881.1931366 1 19.0231 0.121542
58879.1954745 1 19.3464 0.15919
