ZTF19abahvdh 0.075000 Ia
58692.1907639 1 19.8453 0.135747
58686.1899884 1 19.2796 0.118087
58683.190463 1 19.0674 0.119295
58680.168588 1 18.8387 0.196316
58677.3242245 1 18.485 0.127342
58674.2049421 1 18.3701 0.0886782
58665.1901736 1 18.139 0.0587359
58661.2118403 1 18.3093 0.0803902
58658.211331 1 18.6061 0.0771275
58655.2319329 1 19.2575 0.118459
58652.1722685 1 19.8553 0.243738
