ZTF20aaybqae 0.094000 Ia
58985.2747454 2 19.3113 0.127734
58981.2889815 2 19.3146 0.124014
58979.3171875 2 19.282 0.134091
58978.2721875 2 19.4856 0.177053
58976.3162269 2 19.2526 0.192645
58975.3820602 2 19.6488 0.204266
58974.3184028 2 19.7645 0.218807
58974.2806713 2 19.6982 0.192493
58973.3352315 2 19.9848 0.224518
