ZTF18acqsroy 0.033400 II
58494.5485069 2 19.3276 0.11816
58493.4778241 2 19.225 0.0912811
58491.5475116 2 19.2896 0.142388
58486.5033565 2 19.0879 0.118421
58476.4869444 2 18.9316 0.114114
58474.483044 2 18.9502 0.162478
58468.5263773 2 18.9085 0.0955863
58465.5190625 2 18.9844 0.121039
58448.5598727 2 19.0692 0.152285
58448.5134375 2 18.7891 0.120721
