ZTF20aanvpzo 0.037050 Ia
58954.4412037 2 19.5872 0.16617
58936.457419 2 19.0884 0.103332
58914.505787 2 17.8782 0.0514397
58911.4782292 2 17.7224 0.0724291
58908.5224769 2 17.4448 0.0426729
58908.5224769 2 17.4448 0.042673
58908.4851736 2 17.4724 0.0448373
58908.4851736 2 17.4724 0.044837
58898.5190046 2 17.4717 0.047326
58894.5243403 2 18.0469 0.0585781
