ZTF20aaophpu 0.017340 II
58963.1724306 1 19.6854 0.126067
58963.1645255 1 19.6181 0.114627
58912.1373958 1 18.8217 0.110979
58909.2128009 1 18.8053 0.113951
58906.2756713 1 18.6887 0.096738
58904.1637269 1 18.7143 0.0752799
58903.282581 1 18.7573 0.0860083
58903.271412 1 18.7516 0.0755261
58900.2957755 1 18.8003 0.0788806
58898.1903935 1 19.1592 0.090292
