ZTF18absoomk 0.069000 Ia
58400.2212847 2 19.173 0.0921219
58388.2672569 2 18.8378 0.103384
58385.2554167 2 18.6631 0.101463
58382.3483449 2 18.4783 0.0612239
58379.387419 2 18.3296 0.0648092
58376.3622106 2 18.2433 0.057879
58374.3509838 2 18.2165 0.0611172
58373.3071759 2 18.2069 0.0422249
58372.3433449 2 18.2294 0.0578813
58371.3258102 2 18.2607 0.0553086
58370.4062731 2 18.2984 0.0613902
58370.3110648 2 18.2986 0.0519486
58369.3905671 2 18.3507 0.0632457
