ZTF19acbwouf 0.030000 II
58881.1251852 2 19.7749 0.178789
58875.1090046 2 19.4564 0.12821
58872.1170602 2 19.3184 0.129892
58859.1539352 2 18.8424 0.110218
58854.1499306 2 18.9287 0.23414
58853.1418634 2 18.9119 0.192736
58846.1120718 2 18.7631 0.0836415
58837.0878588 2 18.732 0.090288
58833.0854977 2 18.7629 0.0812093
58828.2075694 2 18.9305 0.18962
58814.1483565 2 18.8564 0.126629
58812.2437731 2 18.8 0.0786248
58811.1279745 2 18.8335 0.109367
58806.2275 2 18.7592 0.084918
58803.2476968 2 18.6512 0.166506
58801.266713 2 18.6638 0.148051
58799.2707639 2 18.7527 0.165396
58797.1124306 2 18.7181 0.121844
58794.1195139 2 18.7783 0.108267
58792.1822569 2 18.768 0.0861277
58791.1110069 2 18.685 0.0873907
58790.144838 2 18.763 0.0784823
58788.2125463 2 18.7354 0.106592
58781.2463889 2 18.7439 0.0762517
58777.2002778 2 18.6839 0.0886213
58774.2020023 2 18.7001 0.0788874
58771.2701042 2 18.6018 0.091726
58767.2047917 2 18.9872 0.292756
58764.4127083 2 18.787 0.0719775
58763.1480093 2 18.8066 0.11144
58762.1467477 2 18.9008 0.0802708
58761.1470255 2 18.8635 0.103695
58760.148044 2 19.0157 0.0843745
58758.1555671 2 19.1824 0.124381
