ZTF18abiybfq 0.032000 Ia
58986.4628125 2 19.9522 0.189672
58970.41875 2 19.7817 0.171725
58967.3984028 2 19.9348 0.204012
58964.4580903 2 19.8321 0.181555
58745.1146412 2 19.7622 0.266444
58732.2345023 2 19.7826 0.217249
58700.3787037 2 19.8157 0.217137
58696.3541551 2 19.8959 0.169794
58693.3434838 2 19.7937 0.148076
58690.3590162 2 19.7698 0.214781
58668.3351273 2 19.9515 0.139983
58663.3344444 2 19.9619 0.168492
58662.3188194 2 19.9477 0.2021
58651.3441204 2 19.6396 0.299857
58648.4745139 2 19.9428 0.212801
58642.4392708 2 19.8638 0.151382
58639.3992014 2 19.886 0.169643
58582.4612616 2 19.6887 0.15834
58348.2122338 2 19.5406 0.138376
58345.3166088 2 19.3426 0.12863
58342.3234259 2 19.2047 0.138037
58338.205544 2 18.7948 0.111051
58332.2925694 2 18.4035 0.0962596
58329.3372801 2 18.2636 0.0946617
58326.416875 2 18.2315 0.126028
58321.2727431 2 18.1574 0.0787718
