ZTF19aaraxhh 0.041290 Ia
58633.2629282 1 20.4507 0.287556
58633.2624306 1 20.2177 0.1579
58628.2255556 1 19.9348 0.160324
58628.2065509 1 19.8968 0.180403
58619.2601505 1 18.9053 0.172661
58619.2471759 1 18.9646 0.179397
58616.2625579 1 18.7756 0.116136
58616.2452199 1 18.7522 0.0851444
58612.2679398 1 18.461 0.0784628
58612.2656366 1 18.4573 0.0735514
58606.451713 1 18.1563 0.0642748
58606.4254051 1 18.1287 0.0678199
58600.2214236 1 18.3632 0.109876
58599.1997338 1 18.4747 0.107001
58596.2180671 1 18.8275 0.0990859
58596.1996181 1 18.8293 0.0836843
