ZTF19aahsnmq 0.060000 Ia
58598.1537153 2 20.2019 0.177314
58591.142963 2 20.0057 0.269187
58584.159213 2 19.7729 0.236113
58581.1652083 2 19.5988 0.200011
58567.1442477 2 18.9927 0.0839484
58562.1344907 2 18.7317 0.242271
58559.1978009 2 18.8225 0.115916
58556.1609954 2 18.7066 0.111874
58543.2395255 2 18.1616 0.0669595
58538.2034491 2 17.9411 0.116121
58534.2173727 2 18.0058 0.119551
58526.2132986 2 18.6027 0.0965445
58522.2237037 2 19.8143 0.113036
