ZTF19abmqasg 0.037000 Ia
58756.444213 1 21.0793 0.346565
58749.4610995 1 20.4386 0.314244
58732.434213 1 20.6411 0.372429
58727.4681713 1 20.4031 0.289732
58724.4684606 1 20.2211 0.240682
58714.4924653 1 19.4949 0.161359
58708.4550926 1 19.1154 0.176041
58705.4897222 1 18.808 0.0832686
58701.4734144 1 18.4612 0.10349
58698.4710648 1 18.314 0.0893803
