ZTF19aafmfxg 0.052000 Ia-91T
58612.173287 1 20.1273 0.177117
58601.2281713 1 20.0078 0.145541
58597.2527083 1 20.0543 0.169596
58586.1702662 1 19.875 0.237099
58580.2317593 1 19.7274 0.141575
58575.252419 1 19.5855 0.178977
58572.2543981 1 19.7424 0.205447
58567.2531134 1 19.4123 0.113981
58559.3335185 1 19.1514 0.150354
58556.3401852 1 18.9802 0.122967
58546.2537847 1 17.7045 0.359644
58538.3153125 1 17.4265 0.0643955
58526.4207755 1 16.9352 0.0592741
58522.4310185 1 17.0965 0.0385864
58522.4150463 1 17.1174 0.0453615
58511.4648843 1 19.7991 0.184517
58511.4212963 1 19.7177 0.158238
