ZTF19abgncfz 0.073000 II
58723.183044 1 20.1135 0.247321
58720.160081 1 20.0626 0.255549
58709.2195139 1 19.5305 0.295564
58708.219919 1 19.4232 0.226908
58706.2218981 1 19.6158 0.236205
58705.2191435 1 19.3614 0.217555
58694.2152662 1 19.02 0.0897143
58693.2468981 1 19.0063 0.0965057
58692.206875 1 18.927 0.0816596
58691.2200116 1 18.841 0.0909552
58690.2016204 1 18.8541 0.0853488
58688.2017824 1 18.7642 0.0906471
58684.260787 1 18.7017 0.133405
58683.2707523 1 18.7075 0.120908
58680.1811806 1 18.8132 0.137638
