ZTF20aaflcny 0.033000 II
58954.4443866 2 19.9892 0.192548
58941.4264352 2 19.8159 0.159134
58939.425081 2 19.5707 0.238558
58936.405787 2 19.8118 0.140334
58914.5298032 2 19.6557 0.103646
58911.4836574 2 19.4422 0.161166
58906.4869097 2 19.523 0.184745
58903.49625 2 19.431 0.110715
58898.5119213 2 19.5027 0.1185
58890.4756944 2 19.5439 0.281785
58887.5314583 2 19.423 0.140334
58884.5473843 2 19.3882 0.155264
58881.5568519 2 19.3993 0.108882
58878.5545833 2 19.3577 0.126894
58875.5523264 2 19.4253 0.147176
58872.5539931 2 19.5593 0.12419
