ZTF19ablpfhz 0.060000 Ia
58759.3627894 2 20.0446 0.20455
58750.4677199 2 19.7971 0.208266
58747.4429282 2 19.5563 0.192181
58744.442581 2 19.525 0.191001
58738.5067361 2 19.2679 0.111498
58732.4747222 2 19.0692 0.0779183
58725.4956366 2 18.8773 0.100644
58722.4878356 2 18.8308 0.0824457
58719.4654977 2 18.5556 0.0842816
58715.4575926 2 18.4467 0.0888767
58712.4467014 2 18.3199 0.0650811
58709.4056134 2 18.2869 0.0702134
58706.4859028 2 18.3438 0.0751218
58703.4444329 2 18.447 0.0688543
58699.4884144 2 18.7321 0.0761028
58696.4687963 2 19.2038 0.100489
58693.4856713 2 20.1031 0.225667
