ZTF19acqypso 0.070000 Ia
58813.1971644 1 19.4348 0.292716
58812.3235532 1 19.2017 0.143608
58812.1498148 1 19.3019 0.179749
58811.239537 1 19.2633 0.140828
58811.2221528 1 19.2322 0.191955
58811.2212153 1 19.2943 0.143057
58806.2005787 1 19.0872 0.14813
58806.2001042 1 18.8905 0.10664
58805.2051042 1 19.0082 0.131165
58804.2010532 1 18.9396 0.154106
58803.2234491 1 19.0477 0.143354
58802.209838 1 19.0115 0.14929
58802.2048032 1 19.0013 0.168047
58802.2014236 1 19.0151 0.120862
58801.2247569 1 19.2383 0.196099
58801.2204745 1 19.0304 0.269292
58798.183044 1 19.5445 0.316878
58798.1821412 1 19.4934 0.304373
58797.2707523 1 19.7468 0.306951
58797.2702778 1 19.3871 0.207551
58797.2339815 1 19.6906 0.279687
58795.2585069 1 19.9122 0.314672
58795.2575694 1 20.1693 0.354979
