ZTF20aamttiw 0.044900 II
58987.3418056 2 19.8454 0.132274
58986.4562847 2 19.8229 0.141993
58985.3957986 2 19.8931 0.141699
58979.3502431 2 19.7751 0.227421
58973.3669444 2 19.8537 0.197854
58970.4334838 2 19.7666 0.160797
58967.386875 2 19.7233 0.161464
58964.4287616 2 19.695 0.131233
58961.4420255 2 19.807 0.172157
58956.4882639 2 19.6273 0.180315
58955.4368981 2 19.7816 0.179821
58954.5043981 2 19.6225 0.121785
58953.4518981 2 19.6188 0.147851
58943.4922569 2 19.5513 0.136158
58936.5131829 2 19.3849 0.112943
58914.5341204 2 18.6922 0.0822662
58911.5149769 2 18.677 0.0864246
58908.5125116 2 18.7784 0.081507
58908.5125116 2 18.7784 0.081507
58904.5255903 2 18.894 0.088295
58898.5251273 2 18.4395 0.0727294
58894.5399306 2 18.0163 0.0660181
