ZTF19aavnwtf 0.051500 Ia
58672.1990278 2 18.5857 0.0910343
58669.1769329 2 18.6311 0.10993
58662.1828356 2 18.3687 0.0811138
58654.177662 2 18.2021 0.0513661
58649.2194213 2 17.7275 0.0470069
58646.2241088 2 17.6957 0.0394387
58643.2461921 2 17.6043 0.0428263
58640.2237616 2 17.6413 0.0509217
58637.1749421 2 17.8252 0.0514863
58634.1818287 2 18.2149 0.0560618
