ZTF19abxvtmy 0.040000 Ia
58763.4687269 1 19.3929 0.16369
58759.4496875 1 19.1144 0.187408
58756.4722106 1 18.9346 0.111791
58751.4897917 1 18.3461 0.108507
58748.5132639 1 18.1134 0.090832
58745.5130787 1 17.7402 0.0714636
58742.513588 1 17.6428 0.104552
58736.4871644 1 17.4452 0.0582065
58733.4928935 1 17.3623 0.0662437
