ZTF19aawtnqd 0.030000 Ia
58669.1778704 2 18.9711 0.143276
58662.1855556 2 18.9387 0.119966
58654.1790046 2 18.2491 0.0968974
58649.2221759 2 18.1308 0.0769499
58646.2167014 2 18.3189 0.0822993
58643.2434606 2 18.485 0.0935996
58640.2352431 2 18.6664 0.0797295
58637.1726505 2 19.2963 0.12998
58634.2769444 2 20.3944 0.232279
