ZTF20aarbget 0.022500 Ia
58986.2527546 2 18.6198 0.0987104
58980.2724769 2 18.3644 0.0714221
58966.3376968 2 17.8249 0.0759454
58956.2963889 2 17.3921 0.0524048
58944.3575231 2 16.853 0.0447323
58941.379375 2 16.8407 0.0498009
58940.4009491 2 16.8588 0.0533865
58915.436794 2 16.0525 0.0347284
58911.4612153 2 16.4557 0.038179
58904.4992361 2 19.1517 0.136953
