ZTF19abanayw 0.036300 II
58686.1651968 2 18.5898 0.0788966
58680.2351042 2 18.5698 0.11539
58680.2346528 2 18.7234 0.164992
58677.1908102 2 18.5205 0.100096
58677.1903588 2 18.5699 0.129677
58673.1909491 2 18.395 0.0939142
58671.2055556 2 18.4813 0.134676
58670.1744676 2 18.451 0.0698487
58668.1716667 2 18.4431 0.106651
58667.2132523 2 18.444 0.0663646
58661.1923264 2 18.6428 0.0863372
58658.1727199 2 19.5474 0.137637
