ZTF19acgemzm 0.080000 Ia
58812.1038657 2 19.0317 0.121169
58801.08125 2 18.6023 0.0864974
58797.0757523 2 18.3626 0.108695
58794.0975231 2 18.309 0.06508
58791.0989352 2 18.2128 0.062351
58788.1039699 2 18.137 0.0634546
58785.0958449 2 18.189 0.0618377
58782.1160648 2 18.2709 0.0572386
58779.0966551 2 18.4776 0.077746
58770.194213 2 19.848 0.195248
