ZTF19aavxpbx 0.070000 Ia
58658.2103819 1 19.9433 0.188162
58658.2094792 1 19.918 0.139245
58646.2071528 1 19.0669 0.167147
58646.20625 1 19.278 0.223809
58643.2077546 1 18.9511 0.0965179
58643.1897106 1 18.9518 0.121569
58640.3184954 1 18.9766 0.104683
58640.3175926 1 18.9631 0.0977923
58634.2488657 1 19.2555 0.100113
58634.2312963 1 19.1893 0.165704
