ZTF19abglmpf 0.041000 Ia
58746.1445718 1 19.7271 0.189738
58743.1311111 1 19.6444 0.189256
58737.1608565 1 19.5947 0.212889
58733.3059606 1 19.7488 0.220342
58723.2689005 1 19.2416 0.113772
58720.1870255 1 18.8789 0.0899106
58711.2655671 1 18.0599 0.0767769
58709.2313889 1 17.737 0.0724371
58708.2317593 1 17.7799 0.0715405
58707.2306366 1 17.701 0.0824731
58706.2337269 1 17.6351 0.0582001
58705.2309722 1 17.5306 0.0524924
58704.3122222 1 17.4468 0.0512994
58703.3167477 1 17.3803 0.0516311
58702.3163079 1 17.3149 0.0445495
58701.3171296 1 17.2483 0.047467
58700.3135532 1 17.1956 0.0492114
58699.3169907 1 17.1347 0.0457097
58697.3340394 1 17.0492 0.0510299
58696.3147801 1 17.0028 0.0503002
58693.3055324 1 16.9796 0.0439073
58690.2846875 1 17.0155 0.0448853
58688.3090278 1 17.0676 0.058559
58685.3711806 1 17.2799 0.0433372
58684.2726389 1 17.45 0.058825
58683.282581 1 17.4025 0.053159
58682.2203935 1 17.8345 0.071707
58681.2212037 1 18.1024 0.096204
58680.2181366 1 18.4847 0.119431
58679.3206134 1 18.9553 0.11426
