ZTF19acdtpow 0.075000 Ia
58812.4275579 1 20.603 0.215354
58798.5533333 1 19.917 0.235556
58788.5148264 1 18.7798 0.0761672
58785.4686458 1 18.519 0.0829252
58779.5115625 1 18.2445 0.0727545
58776.5329861 1 18.2364 0.0688162
58770.53375 1 18.4291 0.117604
58767.4913542 1 18.8761 0.116727
58764.5151736 1 19.7711 0.15063
