ZTF19abgbkwv 0.078000 Ia
58705.1656481 2 19.13 0.16787
58701.1565278 2 18.6489 0.194733
58698.1757176 2 18.7742 0.140633
58698.1645602 2 18.8199 0.142588
58693.2059375 2 18.7033 0.121745
58692.1748032 2 18.7831 0.106667
58690.1694329 2 18.7268 0.100778
58689.1733912 2 19.1468 0.229974
58686.2966782 2 18.9664 0.133285
