ZTF18abdfaqi 0.048000 Ia
58343.1731481 1 19.5661 0.15251
58336.1870949 1 19.1696 0.105379
58333.1866435 1 18.8739 0.0998188
58330.1697222 1 18.6053 0.0854533
58327.1704977 1 18.3145 0.088695
58324.275162 1 18.0622 0.115615
58319.2083333 1 17.6362 0.0591273
58314.2466319 1 17.3602 0.047059
58311.2331597 1 17.4739 0.0626252
58300.2277894 1 17.9955 0.0609993
58297.2255093 1 18.8382 0.139404
