ZTF20aafcjln 0.020300 Ia
58986.1900926 1 19.2935 0.113422
58981.1683333 1 19.3437 0.111667
58978.1925231 1 19.2362 0.130161
58971.2516088 1 18.9725 0.111223
58968.2508449 1 18.9663 0.102378
58965.2300231 1 19.0873 0.0965216
58962.2302315 1 18.9499 0.129184
58914.4224537 1 18.0926 0.0896572
58911.3971412 1 17.987 0.0769577
58905.2936343 1 17.5996 0.0859751
58898.3970718 1 17.0154 0.04472
58886.4592708 1 16.0137 0.0429291
58880.4595833 1 15.6709 0.0347339
58876.5057292 1 15.5785 0.0289719
58876.5057292 1 15.5769 0.028487
58873.399375 1 15.5333 0.0326059
58861.4599537 1 17.4465 0.0706296
