ZTF19abqhobb 0.018150 II
58987.349456 2 20.3311 0.201817
58986.305162 2 20.2559 0.193568
58985.4016551 2 20.1397 0.191346
58980.3171759 2 20.1531 0.235663
58978.3014815 2 20.2057 0.30927
58970.3831713 2 20.257 0.226856
58968.4251968 2 20.2511 0.214442
58967.3645486 2 20.1558 0.187727
58965.4426505 2 20.245 0.199355
58964.4317477 2 20.2361 0.225543
58962.4748611 2 20.0388 0.195152
58956.3238889 2 19.8024 0.169331
58955.4536921 2 20.0094 0.184693
58954.5126273 2 20.2212 0.292883
58954.4931597 2 19.853 0.150493
58953.4459375 2 19.713 0.156771
58943.4722917 2 20.0062 0.207789
58941.4347685 2 19.8163 0.18592
58936.5178472 2 19.7247 0.174639
58914.5269907 2 19.6228 0.142381
58913.4964236 2 19.5753 0.179497
58912.4949306 2 19.6245 0.193723
58911.5106481 2 19.8062 0.223158
58908.5091667 2 19.7057 0.138408
58908.5091667 2 19.7057 0.138408
58906.513206 2 19.6938 0.239418
58904.5322106 2 19.5405 0.160439
58903.5117014 2 19.7362 0.14888
58900.4886806 2 19.6499 0.266015
58899.5094213 2 19.7374 0.168317
58898.5310995 2 19.5936 0.147021
58895.4878588 2 19.615 0.150634
58894.537662 2 19.8791 0.195976
58892.5129977 2 19.5014 0.150523
58886.5552315 2 19.5476 0.125809
58885.5409259 2 19.4806 0.124845
58883.5562616 2 19.7628 0.258958
58881.5498843 2 19.4982 0.114559
58880.5364468 2 19.4624 0.135095
58878.5718981 2 19.4077 0.181303
58877.5163542 2 19.5157 0.154115
58876.5569097 2 19.5684 0.13225
58875.5452431 2 19.5129 0.146355
58873.5318634 2 19.4643 0.136914
58866.5362847 2 19.403 0.147989
58861.5496759 2 19.4652 0.209528
58852.5603819 2 19.3685 0.110395
58805.0784954 2 17.7915 0.0806815
58797.0937384 2 17.756 0.0892937
58796.0978241 2 17.6791 0.0663881
58795.1037384 2 17.7215 0.0610157
58794.1020602 2 17.6895 0.0623758
58793.1008102 2 17.6879 0.07228
58792.1137037 2 17.6804 0.080687
58791.0966319 2 17.6639 0.0540856
58790.1133681 2 17.6945 0.0605916
58789.141088 2 17.6816 0.0628452
58788.140706 2 17.6338 0.0623824
58787.1398148 2 17.67 0.0712639
58786.1474537 2 17.6144 0.0616392
58785.140544 2 17.587 0.0569593
58783.1409028 2 17.5976 0.0581127
58782.1396991 2 17.5745 0.0585803
58781.1405903 2 17.5707 0.0882398
58779.1406829 2 17.5737 0.049612
58778.1408796 2 17.548 0.0615431
58777.1406829 2 17.5679 0.0598068
58776.1402778 2 17.5417 0.0504548
58775.1410532 2 17.5646 0.0501653
58774.1413194 2 17.515 0.0492824
58773.1410301 2 17.5301 0.060619
58772.1423958 2 17.5339 0.052553
58771.1420833 2 17.4933 0.0574393
58770.1404745 2 17.4842 0.0561238
58769.1406713 2 17.4697 0.0458364
58768.1409954 2 17.4578 0.0576501
58767.1391551 2 17.3994 0.0490818
58766.1389583 2 17.4484 0.0570784
58765.1404398 2 17.4275 0.0432219
58764.1385532 2 17.446 0.0527608
58763.1532639 2 17.4064 0.0614999
58762.1520023 2 17.4379 0.0468465
58761.1522801 2 17.4167 0.0477304
58760.1532986 2 17.4276 0.0558132
58759.1854514 2 17.4002 0.0415276
58758.1608333 2 17.4159 0.0474289
58754.1518866 2 17.3455 0.0490709
58751.1522801 2 17.3355 0.0513863
58750.1546296 2 17.3051 0.0421141
58749.154375 2 17.3268 0.0363927
58748.1517477 2 17.3064 0.0445062
58747.1527431 2 17.2895 0.0480858
58746.1528935 2 17.2744 0.0481302
58745.153125 2 17.2672 0.0410872
58744.1530903 2 17.2593 0.0517229
58743.1541782 2 17.2478 0.0438816
58742.1539005 2 17.026 0.245024
58741.1526042 2 17.2305 0.0440145
58740.152581 2 17.1799 0.0504447
58739.152419 2 17.2289 0.0480887
58738.153669 2 17.2275 0.050587
58737.2902431 2 17.2565 0.0527398
58736.2766898 2 17.2135 0.0525707
58735.2670023 2 17.2048 0.0506127
58734.2684144 2 17.2027 0.0539931
58733.2671296 2 17.2375 0.0521321
58732.2675463 2 17.2017 0.0503125
58730.2689931 2 17.205 0.0527651
58727.2928704 2 17.1715 0.0426536
58726.2692014 2 17.1699 0.0411997
58725.2677431 2 17.166 0.0380407
58724.2932523 2 17.1205 0.0505512
58723.293206 2 17.1241 0.0423601
58722.2692477 2 17.1282 0.0403357
58721.2693634 2 16.9713 0.0896125
58720.2902083 2 17.1371 0.046408
58719.2694213 2 17.1923 0.05966
58718.290463 2 17.2241 0.0438832
58717.2687616 2 17.308 0.0456562
58716.2899537 2 17.4933 0.0450871
58715.2688426 2 17.586 0.0384218
58714.1846528 2 18.3135 0.0779259
