ZTF19aakiwxx 0.045000 Ia
58580.2637153 1 20.3018 0.252865
58580.2632292 1 20.4831 0.262026
58575.3240162 1 20.1692 0.201386
58575.3070949 1 20.0203 0.24332
58572.3502546 1 20.0336 0.257907
58559.3437153 1 19.0553 0.131378
58559.3382176 1 19.105 0.153973
58556.3874653 1 18.8914 0.146673
58556.3535764 1 18.7567 0.102078
58546.2627199 1 17.7585 0.0579436
58543.3034954 1 17.5274 0.0556426
58538.4189815 1 17.329 0.0993615
58534.3001852 1 17.3315 0.0755594
58526.4614699 1 18.4335 0.0934413
58526.450625 1 18.4815 0.0875661
