ZTF19aanuhox 0.060000 Ia
58638.3657523 1 20.671 0.255676
58635.4464931 1 20.8213 0.268139
58616.4694444 1 19.9843 0.148406
58608.4143056 1 19.3231 0.123339
58596.4951852 1 18.2859 0.0724799
58587.4515741 1 17.8395 0.0605274
58584.4565972 1 17.7927 0.0440658
58580.4477431 1 17.9198 0.0674663
58575.5089236 1 18.6 0.134146
58572.4897801 1 19.5896 0.128843
