ZTF18aaxxewy 0.082000 Ia
58307.1720255 2 19.3791 0.171627
58302.3013542 2 19.2025 0.214186
58300.1760417 2 19.3985 0.156892
58297.2729051 2 19.2031 0.215874
58296.2331597 2 19.2928 0.197777
58288.2549653 2 18.7669 0.0932497
58288.2343056 2 18.7929 0.0967954
58282.2145023 2 18.7295 0.0564185
58282.213125 2 18.7816 0.0583851
58279.2356713 2 18.823 0.0624935
58279.2337847 2 18.8086 0.0643812
58276.276169 2 19.0272 0.068143
58276.1933449 2 19.0865 0.0727976
58273.3161806 2 19.4356 0.125817
