ZTF19abjibet 0.051500 Ia
58760.1801273 1 20.4101 0.289273
58749.1813773 1 20.6384 0.307542
58747.1807407 1 20.3261 0.210244
58746.2053356 1 20.4069 0.24004
58745.1808565 1 20.3716 0.21794
58744.1807407 1 20.4338 0.290372
58735.2931019 1 19.6658 0.235351
58734.2945255 1 19.7252 0.22993
58733.293287 1 19.6202 0.163207
58732.2939583 1 19.6665 0.169239
58730.2956829 1 19.5519 0.144282
58727.3183912 1 19.0241 0.111043
58726.2969792 1 18.9847 0.0936811
58725.2956829 1 19.0567 0.0846237
58724.319375 1 18.8619 0.0964125
58723.3193519 1 18.713 0.092219
58722.2973611 1 18.6095 0.069238
58721.2981829 1 18.3327 0.093852
58720.3173032 1 18.4404 0.0695438
58719.2990162 1 18.2736 0.0641534
58718.3182639 1 18.1862 0.0685375
58717.2985185 1 18.125 0.0608876
58716.3179398 1 18.039 0.0558302
58715.298669 1 17.9449 0.0569375
58714.2134259 1 17.8618 0.0564603
58713.2216435 1 17.8057 0.0535657
58711.2128472 1 17.707 0.0576068
58710.2134722 1 17.6991 0.0601484
58709.2232523 1 17.6154 0.0526083
58708.2236458 1 17.6217 0.0515995
58707.2225347 1 17.5383 0.0549571
58706.225625 1 17.5839 0.0409768
58705.2228819 1 17.6126 0.0537248
58704.3040394 1 17.612 0.0453667
58703.3085764 1 17.66 0.0442342
58702.3081366 1 17.7021 0.0464323
58701.3089468 1 17.7677 0.0513526
58700.3053588 1 17.8991 0.0483877
58699.3087963 1 18.0292 0.0535644
58697.3258681 1 18.3111 0.05773
58696.3065856 1 18.6221 0.074535
58695.3052894 1 18.9115 0.0724447
58694.2194444 1 19.1529 0.102687
58693.2677315 1 19.5769 0.123464
