ZTF19aaugoig 0.050900 Ia
58672.197662 2 19.5146 0.184001
58667.226331 2 19.2957 0.111608
58662.1787384 2 19.0986 0.133825
58658.1818056 2 18.9392 0.0949581
58654.1753819 2 18.7496 0.0887417
58651.2365394 2 18.7124 0.106857
58648.1965741 2 18.5799 0.0981754
58642.2224074 2 18.511 0.0613943
58639.1790394 2 18.4693 0.0779259
58633.1856134 2 18.1236 0.0557442
58618.3035995 2 18.0693 0.0634184
58612.1925231 2 18.8576 0.0743861
