ZTF19acxldra 0.080000 Ia
58871.2616551 2 20.3193 0.182729
58862.3024653 2 19.7976 0.247518
58862.216169 2 19.7628 0.206401
58860.2667593 2 19.7804 0.283916
58856.3287847 2 19.3778 0.220086
58854.4423843 2 19.4173 0.182309
58853.4280556 2 19.5055 0.120478
58852.4299884 2 19.3546 0.0940682
58850.4488426 2 19.4237 0.180075
58836.4720833 2 18.7473 0.0784431
58833.416331 2 18.7429 0.121928
58833.3847801 2 18.6379 0.122135
58828.2990046 2 18.5945 0.188669
58827.4233102 2 18.6225 0.109173
58827.2909375 2 18.5702 0.110623
