ZTF18accngee 0.083254 Ia-91T
58449.4499769 2 19.4389 0.181536
58447.5181829 2 19.1282 0.139304
58443.4622454 2 19.2344 0.126118
58442.3932755 2 19.1715 0.20091
58440.5404398 2 19.0011 0.100872
58439.3921759 2 19.0365 0.105754
58431.5246181 2 18.7885 0.12975
58428.5009491 2 18.7158 0.0830764
58425.4814005 2 18.8801 0.129714
