ZTF20aaesewy 0.031789 Ia
58913.1502431 2 18.7926 0.127545
58904.1748958 2 18.1966 0.0591284
58899.124919 2 17.9447 0.056114
58896.1399653 2 17.8385 0.0434017
58890.1492245 2 17.7894 0.0602011
58887.1283796 2 17.6474 0.0500065
58884.1481019 2 17.6609 0.0841003
58880.1663079 2 17.245 0.0416206
58877.1435532 2 17.0889 0.0401131
58873.2034375 2 17.036 0.0355485
58862.197338 2 17.7461 0.0451959
58861.1737037 2 18.0009 0.0612475
58860.1828588 2 18.2611 0.0847291
58859.227963 2 18.5313 0.099923
58859.1897222 2 18.6356 0.0905007
