ZTF19abqsmns 0.138000 Ia
58754.1514352 2 20.4406 0.212976
58750.1541782 2 20.2847 0.266057
58749.1525 2 20.1828 0.220208
58748.1512963 2 20.2016 0.265664
58747.1522917 2 20.1015 0.232818
58746.1524421 2 20.0536 0.220351
58745.1526736 2 20.1175 0.198846
58744.1526389 2 20.0564 0.174598
58743.1537269 2 20.0206 0.257951
58740.1521296 2 19.6068 0.225479
58739.1519676 2 19.8813 0.231821
58738.1532176 2 19.7933 0.208849
58736.2725347 2 19.5842 0.201579
58734.2642477 2 19.7704 0.236663
58733.2629745 2 19.5684 0.163557
58732.2633796 2 19.537 0.118219
58727.2887037 2 19.6122 0.221555
58726.2644792 2 19.4128 0.139641
58725.2630208 2 19.6126 0.127831
58724.2890856 2 19.6914 0.157582
58723.2890278 2 19.5854 0.134895
58722.264537 2 19.7939 0.17623
58721.2646412 2 19.6608 0.171247
58720.2854977 2 19.7351 0.160084
58719.2647106 2 20.0025 0.268146
58718.2857407 2 20.0346 0.178731
58717.2640509 2 20.0667 0.210173
58716.2852431 2 20.0846 0.232755
58715.2641204 2 20.1383 0.229936
58714.1799306 2 20.6868 0.273265
