ZTF19aczjytt 0.018500 II
58956.262963 2 19.9113 0.189469
58941.2292708 2 18.9104 0.0983182
58913.2496875 2 18.5206 0.0953802
58905.2495023 2 18.4548 0.0817796
58900.2711806 2 18.405 0.0798858
58895.422581 2 18.4153 0.0863643
58876.3540509 2 18.4408 0.0740983
58873.3146065 2 18.4651 0.0713876
58864.3366204 2 18.4464 0.09129
58850.4804167 2 18.6137 0.0958156
58835.4807755 2 18.6362 0.16781
