ZTF19acxyumq 0.034000 Ia
58914.3485301 2 19.7069 0.171111
58913.4320833 2 19.5264 0.170289
58912.4291319 2 19.5194 0.149749
58911.2453472 2 19.2888 0.170776
58908.4463773 2 19.5337 0.101417
58906.4527894 2 19.3874 0.128797
58904.4636227 2 19.2997 0.104974
58903.3858796 2 19.2904 0.0881462
58901.3929514 2 19.1743 0.0855567
58900.4046412 2 19.1642 0.084128
58899.3493056 2 19.2118 0.108831
58898.3664236 2 19.2275 0.078653
58894.2853588 2 18.9932 0.0857475
58891.4907292 2 18.8378 0.0972501
58888.4270255 2 18.6614 0.164667
58884.4884259 2 18.5863 0.0817299
58881.3611806 2 18.4452 0.0604329
58878.3455093 2 18.1566 0.0595688
58875.5160417 2 18.0197 0.053967
58871.5096991 2 17.7972 0.0561507
58866.3576505 2 17.6962 0.0488098
58862.3930556 2 17.6428 0.0517093
58859.4745833 2 17.5937 0.0632678
58859.3074421 2 17.4698 0.0547745
58854.4576273 2 17.2293 0.0452211
58852.5520833 2 17.134 0.0447833
58849.4494097 2 16.9343 0.0400653
58846.4661574 2 16.9035 0.0368819
58836.5084144 2 17.3745 0.0407908
58833.4478704 2 17.9268 0.0592373
58831.4463889 2 18.4188 0.0883273
58828.4253241 2 19.9133 0.235856
