ZTF20aaxndzx 0.088000 Ia
58987.3662963 2 18.9762 0.0871802
58987.3647917 2 19.0345 0.0749435
58986.4704051 2 18.9761 0.0665117
58986.4694676 2 19.0319 0.0897318
58985.4059606 2 18.8887 0.0748702
58985.405463 2 18.9925 0.126648
58983.388669 2 18.8843 0.0848109
58983.3877315 2 18.9631 0.117712
58981.4349074 2 18.8875 0.114809
58981.414919 2 19.0192 0.104012
58980.4697917 2 18.9772 0.0948009
58980.4674074 2 18.9173 0.103348
58979.4664468 2 19.0149 0.121048
58979.3416898 2 19.0087 0.0967124
58978.4760185 2 18.9757 0.0962819
58978.4735995 2 19.0658 0.140865
58977.4668171 2 19.0454 0.153215
58976.3673843 2 19.1629 0.202869
58976.3513657 2 19.178 0.190988
58975.4476042 2 19.2237 0.129335
58975.4460185 2 19.2345 0.137246
58974.3627315 2 19.3676 0.190669
58974.3613194 2 19.2789 0.133098
58973.3636343 2 19.481 0.176598
58973.3621875 2 19.4364 0.212733
58972.4262037 2 19.6562 0.124738
58972.4140856 2 19.7822 0.235007
58971.4087847 2 19.8342 0.153112
58971.4078472 2 19.8099 0.19915
58970.4320718 2 20.0457 0.11698
58970.4080903 2 20.2186 0.230611
